"","ID","Cluster","V1","V2"
"H4_GM_2_2_143","H4_GM_2_2_143",1,-2.47395647281166,-24.5609446263785
"H4_GM_2_2_145","H4_GM_2_2_145",4,1.69861186129153,-7.30000615072622
"H4_GM_2_2_146","H4_GM_2_2_146",1,-3.98429408771637,-19.7468416634696
"H4_GM_2_2_147","H4_GM_2_2_147",4,-4.55056373253451,-14.632806965015
"H4_GM_2_2_148","H4_GM_2_2_148",4,0.22154965801592,-15.655145481301
"H4_GM_2_2_151","H4_GM_2_2_151",2,4.8271923727651,-14.4058307509506
"H4_GM_2_2_155","H4_GM_2_2_155",6,12.9641938509155,-4.55032660622819
"H4_GM_2_2_157","H4_GM_2_2_157",4,-4.66209091044856,-6.23614592144109
"H4_GM_2_2_159","H4_GM_2_2_159",4,-2.36557540877672,-16.8414363827111
"H4_GM_2_2_160","H4_GM_2_2_160",1,-2.52462659196328,-24.4002235668723
"H4_GM_2_2_161","H4_GM_2_2_161",2,5.54306974195431,-14.5085678589091
"H4_GM_2_2_162","H4_GM_2_2_162",4,2.18533490882896,-7.37456572959816
"H4_GM_2_2_163","H4_GM_2_2_163",10,-21.0071404283338,-1.83128040760571
"H4_GM_2_2_165","H4_GM_2_2_165",2,0.212234178106885,-20.8056426240064
"H4_GM_2_2_166","H4_GM_2_2_166",2,6.80652657272588,-19.3062511079572
"H4_GM_2_2_167","H4_GM_2_2_167",4,-4.93592969791662,-5.17510523971339
"H4_GM_2_2_168","H4_GM_2_2_168",1,-0.41053464748091,-21.8993945906161
"H4_GM_2_2_169","H4_GM_2_2_169",2,5.51979502520434,-18.1909401668686
"H4_GM_2_2_170","H4_GM_2_2_170",4,-6.36165417288275,-12.5376502251801
"H4_GM_2_2_171","H4_GM_2_2_171",5,14.2881962194924,-8.45886140179076
"H4_GM_2_2_173","H4_GM_2_2_173",5,10.5277004627802,-6.04457480786026
"H4_GM_2_2_175","H4_GM_2_2_175",5,4.33098133706057,-10.1108511014463
"H4_GM_2_2_178","H4_GM_2_2_178",5,7.00958915198165,-12.8140337071387
"H4_GM_2_2_180","H4_GM_2_2_180",7,-9.74171058675334,-4.24293401598892
"H4_GM_2_2_181","H4_GM_2_2_181",7,8.44294842115816,-9.94609529886232
"H4_GM_2_2_182","H4_GM_2_2_182",1,-3.16240137344524,-18.1771140689639
"H4_GM_2_2_183","H4_GM_2_2_183",1,-3.26061447741748,-23.2856630534217
"H4_GM_2_2_184","H4_GM_2_2_184",6,12.8964253754695,-2.33874712271357
"H4_GM_2_2_185","H4_GM_2_2_185",4,-5.27209851167058,-16.9961936394444
"H4_GM_2_2_190","H4_GM_2_2_190",2,-3.48826357890453,-16.3870537892469
"H4_GM_2_2_191","H4_GM_2_2_191",2,7.42949707321638,-18.8019412367374
"H4_GM_2_2_192","H4_GM_2_2_192",1,-5.03448308790041,-23.7063974423973
"H4_WM_1_3_9","H4_WM_1_3_9",2,2.62223884816559,-18.776461929898
"H4_WM_1_3_18","H4_WM_1_3_18",4,-2.55353004214907,-8.76760958578129
"H4_WM_1_3_25","H4_WM_1_3_25",2,1.59214110631798,-22.0709987740921
"H4_WM_1_3_35","H4_WM_1_3_35",5,4.15827400204422,-10.2420033764951
"H4_WM_1_3_41","H4_WM_1_3_41",2,3.51744717115014,-16.5473230468365
"H4_WM_1_3_49","H4_WM_1_3_49",5,13.2915374147105,-13.032833110207
"H4_WM_1_3_50","H4_WM_1_3_50",4,-6.53320210970561,-12.4984798482931
"H4_WM_1_3_58","H4_WM_1_3_58",2,-0.419552917748418,-20.4239621694283
"H4_WM_1_3_65","H4_WM_1_3_65",4,3.0727894414241,-10.914340901674
"H4_WM_1_3_66","H4_WM_1_3_66",2,5.76543636341845,-14.8637287743879
