"","ID","Cluster","V1","V2"
"H4_GM_2_2_170","H4_GM_2_2_170",3,14.9409334612201,-12.1918394342177
"H4_GM_2_2_171","H4_GM_2_2_171",6,2.40836483618482,17.189266821464
"H4_GM_2_2_173","H4_GM_2_2_173",6,2.43253283057934,11.8609483616365
"H4_GM_2_2_175","H4_GM_2_2_175",3,14.4988485425164,7.34362093216838
"H4_GM_2_2_178","H4_GM_2_2_178",3,13.2717207769034,2.51483502598802
"H4_GM_2_2_180","H4_GM_2_2_180",5,6.21613472425488,-7.39005770582129
"H4_GM_2_2_181","H4_GM_2_2_181",5,17.8217317209984,-3.15281725641277
"H4_GM_2_2_182","H4_GM_2_2_182",1,21.3760550014876,-12.0192375246897
"H4_GM_2_2_183","H4_GM_2_2_183",1,23.2546303067617,-8.34994037240397
"H4_GM_2_2_184","H4_GM_2_2_184",6,1.33230596377768,16.8982295618965
"H4_GM_2_2_185","H4_GM_2_2_185",1,15.0645847749084,-7.76037935600301
"H4_GM_2_2_190","H4_GM_2_2_190",1,19.546117546255,-8.67944513112443
"H4_GM_2_2_191","H4_GM_2_2_191",5,18.1839077963557,-3.09916933657731
"H4_GM_2_2_192","H4_GM_2_2_192",1,23.8173102416456,-12.062515066563
"H4_WM_1_3_9","H4_WM_1_3_9",3,22.0050969189568,1.88005062726631
"H4_WM_1_3_18","H4_WM_1_3_18",3,18.0178865615955,0.805914528714174
"H4_WM_1_3_25","H4_WM_1_3_25",1,23.0076048948533,-0.746135076877333
"H4_WM_1_3_35","H4_WM_1_3_35",3,14.0965284080263,7.90982359044425
"H4_WM_1_3_41","H4_WM_1_3_41",1,20.771257475289,0.892700345779801
"H4_WM_1_3_49","H4_WM_1_3_49",5,17.0250471420807,4.76195255409561
"H4_WM_1_3_50","H4_WM_1_3_50",2,9.30849634341248,-10.1732728001482
"H4_WM_1_3_57","H4_WM_1_3_57",9,-31.3979266211621,2.93637498801142
"H4_WM_1_3_58","H4_WM_1_3_58",1,21.2778034248477,-4.35570507490348
"H4_WM_1_3_65","H4_WM_1_3_65",3,12.9285001002741,5.35568724392495
"H4_WM_1_3_66","H4_WM_1_3_66",5,16.4593253491325,6.99479666718577
"H4_WM_1_3_73","H4_WM_1_3_73",1,20.2927067087453,-6.17833271726591
"H4_WM_1_3_81","H4_WM_1_3_81",1,22.0200505537251,-10.6207734372261
"H4_WM_1_3_82","H4_WM_1_3_82",1,23.4327070847599,-1.15420888180151
"H4_WM_1_3_89","H4_WM_1_3_89",1,20.8178276569858,-1.12170720608176
"H4_WM_1_3_97","H4_WM_1_3_97",3,21.5292448787355,3.3898981305549
"H4_WM_1_3_98","H4_WM_1_3_98",1,17.8522947959592,-12.2975010099393
"H4_WM_1_3_105","H4_WM_1_3_105",1,25.5848020352917,-10.6437613715109
"H4_WM_1_3_113","H4_WM_1_3_113",1,21.1386918812387,-4.04951942773634
"H4_WM_1_3_114","H4_WM_1_3_114",4,1.14332148193261,31.5065796383581
"H4_WM_1_3_121","H4_WM_1_3_121",1,24.454825201731,-10.4045028650233
"H4_WM_1_3_122","H4_WM_1_3_122",5,11.7132282073361,10.8342316625029
"H4_WM_1_3_129","H4_WM_1_3_129",1,21.3917680411443,-3.17082479259617
"H4_WM_1_3_131","H4_WM_1_3_131",1,16.2285347985042,7.78522542302134
"H4_WM_1_3_133","H4_WM_1_3_133",1,17.961309424373,-8.92553417074796
"H4_WM_1_3_139","H4_WM_1_3_139",4,1.75170322688787,32.2126734753017
"H4_WM_1_3_147","H4_WM_1_3_147",3,0.835461818135725,2.52698530058835
"H4_WM_1_3_148","H4_WM_1_3_148",1,23.6133046913544,-9.84623543654391
"H4_WM_1_3_149","H4_WM_1_3_149",3,15.4422514142033,8.03618249525117
"H4_WM_1_3_153","H4_WM_1_3_153",1,17.6527024828532,0.259038505752286
"H4_WM_1_3_154","H4_WM_1_3_154",4,0.962660196091414,31.7375814122611
"H4_WM_1_3_161","H4_WM_1_3_161",3,9.60791454837597,-9.45811132454104
"H4_WM_1_3_162","H4_WM_1_3_162",1,17.1056118789036,-12.0789760147222
"H4_WM_1_3_163","H4_WM_1_3_163",5,11.8890562008461,12.0231195814931
"H4_WM_1_3_164","H4_WM_1_3_164",5,12.3236160960292,9.96245698412939
"H4_WM_1_3_165","H4_WM_1_3_165",6,13.610139895583,8.28464972991933
"H4_WM_1_3_166","H4_WM_1_3_166",3,22.2123940108293,0.280117304857351
